model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
CatBoost,0.255,0.9924782543114284,0.46134020618556704,0.05365707434052758,0.9995294557333793,0.09613319011815252,0.8439528729654308,0.09477537081883369,358,418,887915,6314,776,0.0008670342623784225,0.053186530073906724
CatBoost,0.26,0.9924793716236222,0.46082337317397076,0.052008393285371705,0.9995429641812248,0.09346801346801348,0.8439528729654308,0.09477537081883369,347,406,887927,6325,753,0.00084133608192133,0.05155135746659645
CatBoost,0.265,0.9924905447455601,0.46675712347354137,0.05155875299760192,0.9995575983330576,0.09286003509245512,0.8439528729654308,0.09477537081883369,344,393,887940,6328,737,0.000823459086820744,0.05111635133065939
CatBoost,0.27,0.9925006005553042,0.47191011235955055,0.050359712230215826,0.9995767353008388,0.09100758396533046,0.8439528729654308,0.09477537081883369,336,376,887957,6336,712,0.0007955262819760783,0.04993644753105464
CatBoost,0.275,0.9925028351796917,0.47238372093023256,0.048711031175059955,0.9995913694526715,0.08831521739130434,0.8439528729654308,0.09477537081883369,325,363,887970,6347,688,0.0007687107893251993,0.0483024006277315
CatBoost,0.28,0.9925073044284669,0.4745508982035928,0.047511990407673864,0.999604877900517,0.08637602179836514,0.8439528729654308,0.09477537081883369,317,351,887982,6355,668,0.0007463645454494667,0.04711686830819084
CatBoost,0.285,0.9925184775504048,0.48148148148148145,0.046762589928057555,0.999621763460324,0.08524590163934427,0.8439528729654308,0.09477537081883369,312,336,887997,6360,648,0.0007240183015737342,0.04638435338838165
CatBoost,0.29,0.992527416047955,0.4873015873015873,0.046013189448441245,0.9996363976121567,0.08408655162969048,0.8439528729654308,0.09477537081883369,307,323,888010,6365,630,0.0007039066820855749,0.04564958706059796
CatBoost,0.295,0.9925363545455054,0.4934210526315789,0.044964028776978415,0.9996532831719637,0.08241758241758242,0.8439528729654308,0.09477537081883369,300,308,888025,6372,608,0.0006793258138222692,0.04461731194894214
CatBoost,0.3,0.9925441757308618,0.49915397631133673,0.04421462829736211,0.9996667916198092,0.0812336500068842,0.8439528729654308,0.09477537081883369,295,296,888037,6377,591,0.0006603315065278965,0.043881419917171316
CatBoost,0.305,0.9925564661649935,0.5087108013937283,0.043764988009592325,0.9996825514756291,0.0805961910019321,0.8439528729654308,0.09477537081883369,292,282,888051,6380,574,0.0006413371992335238,0.0434475394852214
CatBoost,0.31,0.9925564661649935,0.5089928057553957,0.042416067146282974,0.9996926828115132,0.0783065855008301,0.8439528729654308,0.09477537081883369,283,273,888060,6389,556,0.0006212255797453646,0.04210874995779612
CatBoost,0.315,0.9925665219747376,0.5174953959484346,0.04211630695443645,0.9997050655553716,0.07789327789327789,0.8439528729654308,0.09477537081883369,281,262,888071,6391,543,0.0006067005212261384,0.041821372509808
CatBoost,0.32,0.9925631700381562,0.5153846153846153,0.04016786570743405,0.999716322595243,0.07452725250278086,0.8439528729654308,0.09477537081883369,268,252,888081,6404,520,0.000581002340769046,0.03988418830267704
CatBoost,0.325,0.9925709912235127,0.5229540918163673,0.03926858513189448,0.9997309567470757,0.07305172173428133,0.8439528729654308,0.09477537081883369,262,239,888094,6410,501,0.0005597734090871001,0.038999541878970145
CatBoost,0.33,0.9925765777844816,0.5289256198347108,0.03836930455635491,0.9997433394909342,0.07154835103409725,0.8439528729654308,0.09477537081883369,256,228,888105,6416,484,0.0005407791017927274,0.0381126440472892
CatBoost,0.335,0.9925888682186133,0.5417558886509636,0.03791966426858513,0.999759099346754,0.07087827426810478,0.8439528729654308,0.09477537081883369,253,214,888119,6419,467,0.0005217847944983548,0.03767876361533906
